Identifiant;Type Objet;Modèle;N° Voie Pair;N° Voie Impair;Voie;Commune;Disponibilité;Début Indisponibilité;Fin Indisponibilité;Motif Indisponibilité;geo_shape;geo_point_2d
450080385;FONTAINE_BOIS;GHM Bois;;;ALLEE BLAISE CENDRARS;PARIS 1ER ARRONDISSEMENT;NON;2021-11-22T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.34535919580162, 48.86258370740265], ""type"": ""Point""}";48.86258370740265,2.34535919580162
450080166;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;CIMETIERE PARISIEN DE THIAIS;THIAIS;NON;2021-11-29T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.375661188198428, 48.76020339724289], ""type"": ""Point""}";48.76020339724289,2.375661188198428
450080177;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;CIMETIERE PARISIEN DE THIAIS;THIAIS;NON;2021-11-29T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.37612482020512, 48.76355804047349], ""type"": ""Point""}";48.76355804047349,2.37612482020512
450080251;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE PANTIN-BOBIGNY;PANTIN;NON;2021-11-30T02:00:00+01:00;2022-04-29T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.4097147932522223, 48.909189011574405], ""type"": ""Point""}";48.909189011574405,2.4097147932522223
450080255;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE PANTIN-BOBIGNY;PANTIN;NON;2021-11-30T02:00:00+01:00;2022-04-29T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.417085102662437, 48.906588608375394], ""type"": ""Point""}";48.906588608375394,2.417085102662437
450080260;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE PANTIN-BOBIGNY;PANTIN;NON;2021-11-30T02:00:00+01:00;2022-04-29T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.417414162908795, 48.90909734513392], ""type"": ""Point""}";48.90909734513392,2.417414162908795
450080197;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;CIMETIERE PARISIEN DE THIAIS;THIAIS;NON;2021-11-29T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.375215918158327, 48.7648542611971], ""type"": ""Point""}";48.7648542611971,2.375215918158327
450080206;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE SAINT-OUEN;SAINT-OUEN;NON;2021-11-29T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.349826737298947, 48.91047822185636], ""type"": ""Point""}";48.91047822185636,2.349826737298947
450019345;FONTNE_WALLACE;Caryatides;;5F;PLACE MAURICE CHEVALIER;PARIS 20EME ARRONDISSEMENT;NON;2021-12-20T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.386071465060834, 48.868349229592084], ""type"": ""Point""}";48.868349229592084,2.386071465060834
450019277;FONTNE_WALLACE;Caryatides;;3;PLACE DE LEVIS;PARIS 17EME ARRONDISSEMENT;NON;2021-12-20T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.313582869771277, 48.88359551988131], ""type"": ""Point""}";48.88359551988131,2.313582869771277
450070775;FONTNE_WALLACE;Caryatides;4F;;PLACE DU 18 JUIN 1940;PARIS 6EME ARRONDISSEMENT;NON;2021-12-15T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.324046830688375, 48.844120034578474], ""type"": ""Point""}";48.844120034578474,2.324046830688375
450024985;FONTNE_WALLACE;Caryatides;;3F;PLACE DE L ABBE JEAN LEBEUF;PARIS 14EME ARRONDISSEMENT;NON;2021-12-13T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.31892774373086, 48.83604646866491], ""type"": ""Point""}";48.83604646866491,2.31892774373086
450019274;FONTNE_WALLACE;Caryatides;;;PLACE AIME MAILLART;PARIS 17EME ARRONDISSEMENT;NON;2021-12-20T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.295460180931919, 48.88152697743684], ""type"": ""Point""}";48.88152697743684,2.295460180931919
450080354;FTNE_PETILLANTE;Fontaine pétillante;;47;RUE GAZAN;PARIS 14EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.34076103780381, 48.821264284011605], ""type"": ""Point""}";48.821264284011605,2.34076103780381
450024989;BORNE_FONTAINE;GHM Ville de Paris;136;;RUE DE L UNIVERSITE;PARIS 7EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.312003140693081, 48.861226066136446], ""type"": ""Point""}";48.861226066136446,2.312003140693081
450080519;BORNE_FONTAINE;GHM Ville de Paris;;53F;RUE SAINT BLAISE;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.407926849331417, 48.85746019926778], ""type"": ""Point""}";48.85746019926778,2.407926849331417
450071495;FONTAINE_ARCEAU;Fontaine Arceau;4;;AVENUE DE LA PORTE DE VANVES;PARIS 14EME ARRONDISSEMENT;NON;2021-12-13T02:00:00+01:00;;APP A REPARER;"{""coordinates"": [2.304485307746408, 48.826736502213414], ""type"": ""Point""}";48.826736502213414,2.304485307746408
450072498;FONTAINE_ARCEAU;Fontaine Arceau;;;PLACE FRANCOISE DORLEAC;PARIS 18EME ARRONDISSEMENT;NON;2021-09-15T04:00:00+02:00;;;"{""coordinates"": [2.337363770712923, 48.90004205097519], ""type"": ""Point""}";48.90004205097519,2.337363770712923
450073002;FONTAINE_ARCEAU;Fontaine Arceau;70;;RUE DE TOCQUEVILLE;PARIS 17EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.310695390639144, 48.885197622101956], ""type"": ""Point""}";48.885197622101956,2.310695390639144
450072955;FONTAINE_ARCEAU;Fontaine Arceau;;29;PLACE MOHAMMED V;PARIS 5EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.356655446816701, 48.84926965457555], ""type"": ""Point""}";48.84926965457555,2.356655446816701
450080583;FONTAINE_ARCEAU;Fontaine Arceau;;23;RUE DU CHEMIN VERT;PARIS 11EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.372709462826152, 48.858461789912035], ""type"": ""Point""}";48.858461789912035,2.372709462826152
450080754;FONTAINE_ARCEAU;Fontaine Arceau;;Face 7;AVENUE RENE COTY;PARIS 14EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.33346840319295, 48.831562036512864], ""type"": ""Point""}";48.831562036512864,2.33346840319295
450025182;FONTAINE_BOIS;Wallace Bois;;;ROUTE DE LA CASCADE;PARIS 12EME ARRONDISSEMENT;NON;2021-12-02T02:00:00+01:00;2022-04-29T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.460659138520173, 48.83848009171254], ""type"": ""Point""}";48.83848009171254,2.460659138520173
450025525;FONTAINE_BOIS;Wallace Bois;;;ROUTE SAINT LOUIS;PARIS 12EME ARRONDISSEMENT;NON;2021-12-02T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.42564605912976, 48.82717561982892], ""type"": ""Point""}";48.82717561982892,2.42564605912976
450025561;FONTAINE_BOIS;Wallace Bois;;;ROUTE CEINTURE LAC DAUMESNIL;PARIS 12EME ARRONDISSEMENT;NON;2021-11-26T02:00:00+01:00;2022-04-29T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.408964100773883, 48.831186565233274], ""type"": ""Point""}";48.831186565233274,2.408964100773883
