Adresse;Nom du site;Code postal;Nombre de bornes;Etat du site;Code Site;geo_shape;geo_point_2d
38 RUE GASSENDI;BIBLIOTHEQUE BRASSENS;75014;2;Opérationnel;PW0054;"{""coordinates"": [2.325855977890741, 48.8337666096961], ""type"": ""Point""}";48.8337666096961,2.325855977890741
PLACE FERDINAND BRUNOT;SQUARE FERDINAND BRUNOT;75014;1;Opérationnel;PW0065;"{""coordinates"": [2.326767226137216, 48.832851160952806], ""type"": ""Point""}";48.832851160952806,2.326767226137216
11 T RUE D ALESIA;GYMNASE ALICE MILLIAT;75014;1;Opérationnel;PW0094;"{""coordinates"": [2.336263839006833, 48.82716090943828], ""type"": ""Point""}";48.82716090943828,2.336263839006833
2 RUE GAZAN;PARC MONTSOURIS - GARDE GAZAN;75014;1;Opérationnel;PW0213;"{""coordinates"": [2.3398255642883, 48.82436764489121], ""type"": ""Point""}";48.82436764489121,2.3398255642883
2 RUE LOUIS ARMAND;CENTRE SPORTIF SUZANNE LENGLEN - ENTREE;75015;1;Opérationnel;PW0173-1;"{""coordinates"": [2.276576357106314, 48.83307064322777], ""type"": ""Point""}";48.83307064322777,2.276576357106314
31 RUE DE PECLET;MAIRIE DU 15 EME;75015;8;Opérationnel;PW0014;"{""coordinates"": [2.299884387584236, 48.841515749400145], ""type"": ""Point""}";48.841515749400145,2.299884387584236
8 RUE DE LA MONTAGNE D AULAS;BIBLIOTHEQUE GUTENBERG;75015;1;Opérationnel;PW0145;"{""coordinates"": [2.278706424214254, 48.84020760641956], ""type"": ""Point""}";48.84020760641956,2.278706424214254
13 RUE DU GENERAL GUILLAUMAT;CENTRE SPORTIF PLAINE;75015;1;Opérationnel;PW0088;"{""coordinates"": [2.293327610769408, 48.828033174092695], ""type"": ""Point""}";48.828033174092695,2.293327610769408
1 RUE EMILE HEMINGWAY;PREFOURRIERE BALARD;75015;1;Opérationnel;PW0228;"{""coordinates"": [2.275176007155638, 48.83759553433298], ""type"": ""Point""}";48.83759553433298,2.275176007155638
154 RUE LECOURBE;BIBLIOTHEQUE VAUGIRARD;75015;2;Opérationnel;PW0137;"{""coordinates"": [2.299350321997607, 48.84170750668819], ""type"": ""Point""}";48.84170750668819,2.299350321997607
69 RUE VILOLET;MAISON COMMUNALE;75015;1;Opérationnel;PW0240;"{""coordinates"": [2.291512472829773, 48.8455716174562], ""type"": ""Point""}";48.8455716174562,2.291512472829773
18 RUE ANTOINE BOURDELLE;MUSEE BOURDELLE;75015;14;Opérationnel;PW0241;"{""coordinates"": [2.318579339445639, 48.84308836802916], ""type"": ""Point""}";48.84308836802916,2.318579339445639
22 RUE DE LA SAIDA;MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 15;75015;2;Opérationnel;PW0031;"{""coordinates"": [2.295756095762723, 48.83183217258378], ""type"": ""Point""}";48.83183217258378,2.295756095762723
14 RUE MOISANT;ESPACE PARISIEN POUR L INSERTION 7 15 16;75015;1;Opérationnel;PW0162;"{""coordinates"": [2.317205761596205, 48.842310116893366], ""type"": ""Point""}";48.842310116893366,2.317205761596205
36-40 RUE EMERIAU;BIBLIOTHEQUE ANDRÉE CHEDID;75015;3;Opérationnel;PW0117;"{""coordinates"": [2.286136743745502, 48.84974131047438], ""type"": ""Point""}";48.84974131047438,2.286136743745502
