Adresse;Nom du site;Code postal;Nombre de bornes;Etat du site;Code Site;geo_shape;geo_point_2d
BERGE DE SEINE RIVE DROITE - SORTIE TUNNEL TUILERIES;BERGES RIVE DROITE - PONT NEUF;75001;1;Opérationnel;PW0149;"{""coordinates"": [2.335822356054447, 48.85937332543368], ""type"": ""Point""}";48.85937332543368,2.335822356054447
5B RUE DU LOUVRE;MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  1;75001;2;Opérationnel;PW0148;"{""coordinates"": [2.34115675500317, 48.8618833615023], ""type"": ""Point""}";48.8618833615023,2.34115675500317
32 RUE BERGER;JARDIN NELSON MANDELA;75001;2;Opérationnel;PW0110;"{""coordinates"": [2.34630372400731, 48.86146942215447], ""type"": ""Point""}";48.86146942215447,2.34630372400731
8 PORTE SAINT EUSTACHE;MEDIATHEQUE MUSICALE DE PARIS (HALLES);75001;2;Opérationnel;PW0020;"{""coordinates"": [2.345916105005208, 48.862650133028886], ""type"": ""Point""}";48.862650133028886,2.345916105005208
4 PLACE DU LOUVRE;QUARTIER JEUNES;75001;19;Opérationnel;PW0127;"{""coordinates"": [2.341064476164004, 48.860083526572126], ""type"": ""Point""}";48.860083526572126,2.341064476164004
1 PLACE DU LOUVRE;PREFOURRIERE LOUVRE;75001;1;Opérationnel;PW0227;"{""coordinates"": [2.340738421116781, 48.859324822757436], ""type"": ""Point""}";48.859324822757436,2.340738421116781
10 PASSAGE DE LA CANOPEE;MEDIATHEQUE LA CANOPEE LA FONTAINE;75001;5;Opérationnel;PW0143;"{""coordinates"": [2.347643903283826, 48.86181948548023], ""type"": ""Point""}";48.86181948548023,2.347643903283826
BERGE DE SEINE RIVE DROITE - SORTIE CHATELET;BERGES RIVE DROITE - PONT AU CHANGE;75001;1;Opérationnel;PW0193;"{""coordinates"": [2.347019924471973, 48.85742785373788], ""type"": ""Point""}";48.85742785373788,2.347019924471973
14 RUE DES PROUVAIRES;BIBLIOTHEQUE DU CINEMA FRANCOIS TRUFFAUT;75001;1;Opérationnel;PW0112;"{""coordinates"": [2.344154109508663, 48.86148891058231], ""type"": ""Point""}";48.86148891058231,2.344154109508663
BERGE DE SEINE RIVE DROITE - VIA FERRATA;BERGES RIVE DROITE - PONT AU CHANGE;75001;1;Opérationnel;PW0158;"{""coordinates"": [2.346563042652777, 48.857512783868636], ""type"": ""Point""}";48.857512783868636,2.346563042652777
8 RUE DE LA BANQUE;MAIRIE DU 2 EME;75002;1;Opérationnel;PW0034;"{""coordinates"": [2.340450799891371, 48.86683452754676], ""type"": ""Point""}";48.86683452754676,2.340450799891371
23 RUE GRENETA;MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 2;75002;1;Opérationnel;PW0036;"{""coordinates"": [2.35054940319118, 48.86508140493411], ""type"": ""Point""}";48.86508140493411,2.35054940319118
17 RUE LEOPOLD BELLAN;CENTRE SPORTIF JEAN DAME;75002;1;Opérationnel;PW0082;"{""coordinates"": [2.345506505320458, 48.86656834849909], ""type"": ""Point""}";48.86656834849909,2.345506505320458
2 PASSAGE DES PETITS PERES;BIBLIOTHEQUE CHARLOTTE DELBO;75002;2;Opérationnel;PW0134;"{""coordinates"": [2.340434491489431, 48.866507580054055], ""type"": ""Point""}";48.866507580054055,2.340434491489431
50 RUE DES TOURNELLES;MAISON DES INITIATIVES ETUDIANTES;75003;7;Opérationnel;PW0070;"{""coordinates"": [2.36739182012952, 48.856221957138], ""type"": ""Point""}";48.856221957138,2.36739182012952
3 RUE EUGENE SPULLER;MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 3/4;75003;1;Opérationnel;PW0019-1;"{""coordinates"": [2.362186544891376, 48.86402504205692], ""type"": ""Point""}";48.86402504205692,2.362186544891376
2 RUE EUGENE SPULLER;MAIRIE DU 3 EME;75003;2;Opérationnel;PW0019;"{""coordinates"": [2.361531961565591, 48.8639920263], ""type"": ""Point""}";48.8639920263,2.361531961565591
67 RUE TURBIGO;BOURSE DU TRAVAIL ANNEXE TURBIGO;75003;1;Opérationnel;PW0219;"{""coordinates"": [2.358004775693508, 48.86601657813311], ""type"": ""Point""}";48.86601657813311,2.358004775693508
27 RUE DE SEVIGNE;MUSEE CARNAVALET;75003;19;Opérationnel;PW0233;"{""coordinates"": [2.362975092932358, 48.85754315834629], ""type"": ""Point""}";48.85754315834629,2.362975092932358
8-12 RUE PORTEFOIN;BIBLIOTHEQUE MARGUERITE AUDOUX;75003;2;Opérationnel;PW0044;"{""coordinates"": [2.359846256600825, 48.86376892355013], ""type"": ""Point""}";48.86376892355013,2.359846256600825
85 RUE CHARLOT;BOURSE DU TRAVAIL ANNEXE CHARLOT;75003;1;Opérationnel;PW0220;"{""coordinates"": [2.365108017746905, 48.86514825320897], ""type"": ""Point""}";48.86514825320897,2.365108017746905
8 RUE ELZEVIR;MUSEE COGNACQ-JAY;75003;14;Opérationnel;PW0251;"{""coordinates"": [2.361460361201677, 48.85817283984132], ""type"": ""Point""}";48.85817283984132,2.361460361201677
21 RUE BLANCS MANTEAUX;MAISON DES ACTEURS DU PARIS DURABLE;75004;3;Fermé pour travaux;PW0192;"{""coordinates"": [2.356872775538012, 48.85904965674071], ""type"": ""Point""}";48.85904965674071,2.356872775538012
RUE DU CLOITRE NOTRE DAME;SQUARE JEAN XXIII - 2;75004;1;Opérationnel;PW0067;"{""coordinates"": [2.35079596200768, 48.852501475068166], ""type"": ""Point""}";48.852501475068166,2.35079596200768
4 PLACE DE L HOTEL DE VILLE;HOTEL DE VILLE 3EME;75004;3;Opérationnel;PW0122-4;"{""coordinates"": [2.352901785985004, 48.85632801355686], ""type"": ""Point""}";48.85632801355686,2.352901785985004
4 PLACE DE L HOTEL DE VILLE;HOTEL DE VILLE 2EME;75004;6;Opérationnel;PW0122-3;"{""coordinates"": [2.352685785891044, 48.85602609046494], ""type"": ""Point""}";48.85602609046494,2.352685785891044
30 PLACE DES VOSGES;SQUARE LOUIS XIII;75004;1;Opérationnel;PW0163;"{""coordinates"": [2.365658403131317, 48.855630783910044], ""type"": ""Point""}";48.855630783910044,2.365658403131317
4 PLACE DE L'HOTEL DE VILLE;HOTEL DE VILLE SOUS SOL;75004;3;Opérationnel;PW0122;"{""coordinates"": [2.352648313015422, 48.856763442143226], ""type"": ""Point""}";48.856763442143226,2.352648313015422
QUAI DE L'HOTEL DE VILLE;JARDIN FREDERICO GARCIA LORCA - SQUARE HDV;75004;1;Opérationnel;PW0191;"{""coordinates"": [2.353240934008803, 48.85471050547104], ""type"": ""Point""}";48.85471050547104,2.353240934008803
2 PLACE BAUDOYER;ACADEMIE DU CLIMAT;75004;32;Opérationnel;PW0132;"{""coordinates"": [2.355756901105178, 48.856271607867846], ""type"": ""Point""}";48.856271607867846,2.355756901105178
48 RUE VIEILLE DU TEMPLE;LES BLANCS MANTEAUX;75004;2;Opérationnel;PW0121;"{""coordinates"": [2.358392357177399, 48.858261325151034], ""type"": ""Point""}";48.858261325151034,2.358392357177399
PLACE DE L HOTEL DE VILLE;HOTEL DE VILLE 1ER;75004;3;Opérationnel;PW0122-2;"{""coordinates"": [2.352261859070027, 48.85608287395022], ""type"": ""Point""}";48.85608287395022,2.352261859070027
4 PLACE DE L'HOTEL DE VILLE;HOTEL DE VILLE 4EME;75004;6;Opérationnel;PW0122-5;"{""coordinates"": [2.353171823279209, 48.85686653543352], ""type"": ""Point""}";48.85686653543352,2.353171823279209
4 PLACE DE L HOTEL DE VILLE;HOTEL DE VILLE PARVIS RIVOLI;75004;1;Opérationnel;PW0123-1;"{""coordinates"": [2.352351724212447, 48.857051850068956], ""type"": ""Point""}";48.857051850068956,2.352351724212447
24 RUE PAVEE;BIBLIOTHEQUE HISTORIQUE DE LA VILLE DE PARIS (BHVP);75004;1;Opérationnel;PW0043;"{""coordinates"": [2.361695904390476, 48.857065427924205], ""type"": ""Point""}";48.857065427924205,2.361695904390476
BERGE DE SEINE RIVE DROITE - QUAI DE GESVRES;BERGES RIVE DROITE - PONT D ARCOLE;75004;1;Opérationnel;PW0156;"{""coordinates"": [2.350834661285838, 48.8558319847793], ""type"": ""Point""}";48.8558319847793,2.350834661285838
BERGE DE SEINE RIVE DROITE - 5 QUAI DES CELESTINS;BERGES RIVE DROITE - LES NAUTES;75004;1;Opérationnel;PW0150;"{""coordinates"": [2.360310974496216, 48.85235333983582], ""type"": ""Point""}";48.85235333983582,2.360310974496216
BERGE DE SEINE RIVE DROITE -  QUAI DE GESVRES 2;BERGES RIVE DROITE - PONT NOTRE DAME;75004;1;Opérationnel;PW0181;"{""coordinates"": [2.3489230003257022, 48.856687570900185], ""type"": ""Point""}";48.856687570900185,2.3489230003257022
RUE DU CLOITRE NOTRE DAME;SQUARE JEAN XXIII - 1;75004;1;Fermé pour travaux;;"{""coordinates"": [2.350670607814152, 48.85244200134777], ""type"": ""Point""}";48.85244200134777,2.350670607814152
88 RUE DE RIVOLI;SQUARE DE LA TOUR SAINT JACQUES;75004;1;Opérationnel;PW0153;"{""coordinates"": [2.349220101454865, 48.85804072427662], ""type"": ""Point""}";48.85804072427662,2.349220101454865
9 PLACE DE L HOTEL DE VILLE;HOTEL DE VILLE  PARVIS  9;75004;1;Opérationnel;PW0119;"{""coordinates"": [2.351277612149236, 48.85727328251876], ""type"": ""Point""}";48.85727328251876,2.351277612149236
1 RUE DU FIGUIER;BIBLIOTHEQUE FORNEY;75004;4;Opérationnel;PW0050;"{""coordinates"": [2.359179237268959, 48.853423533989464], ""type"": ""Point""}";48.853423533989464,2.359179237268959
2 PLACE BAUDOYER;BIBLIOTHEQUE ARTHUR RIMBAUD;75004;2;Opérationnel;PW0132-2;"{""coordinates"": [2.3559375242406873, 48.85613837361524], ""type"": ""Point""}";48.85613837361524,2.3559375242406873
6 PLACE DES VOSGES;MUSEE VICTOR HUGO;75004;9;Opérationnel;PW0237;"{""coordinates"": [2.366168524762721, 48.85477276860284], ""type"": ""Point""}";48.85477276860284,2.366168524762721
4 PLACE DE L'HOTEL DE VILLE;HOTEL DE VILLE RDC;75004;4;Opérationnel;PW0122-1;"{""coordinates"": [2.35238826700578, 48.85638968298792], ""type"": ""Point""}";48.85638968298792,2.35238826700578
4 PLACE DE L'HOTEL DE VILLE;HOTEL DE VILLE PARVIS SEINE;75004;1;Opérationnel;PW0123;"{""coordinates"": [2.35175507673093, 48.8563193139378], ""type"": ""Point""}";48.8563193139378,2.35175507673093
15 B RUE BUFFON;BIBLIOTHEQUE BUFFON;75005;3;Opérationnel;PW0111;"{""coordinates"": [2.361868243596555, 48.842546608019944], ""type"": ""Point""}";48.842546608019944,2.361868243596555
39 B RUE POLIVEAU;CENTRE SPORTIF POLIVEAU;75005;1;Opérationnel;PW0090;"{""coordinates"": [2.357480751841143, 48.839812146077996], ""type"": ""Point""}";48.839812146077996,2.357480751841143
12 RUE DES ECOLES;SQUARE PAUL LANGEVIN;75005;2;Opérationnel;PW0154;"{""coordinates"": [2.34964310762926, 48.848084907658944], ""type"": ""Point""}";48.848084907658944,2.34964310762926
48-50 RUE DU CARDINAL LEMOINE;BIBLIOTHEQUE DES LITTERATURES POLICIERES;75005;2;Opérationnel;PW0138;"{""coordinates"": [2.351181030723315, 48.84643022998531], ""type"": ""Point""}";48.84643022998531,2.351181030723315
6-12 RUE DES PRETRES ST-SEVERIN;BIBLIOTHEQUE HEURE JOYEUSE;75005;2;Opérationnel;PW0136;"{""coordinates"": [2.344948218913558, 48.85190101045929], ""type"": ""Point""}";48.85190101045929,2.344948218913558
4 RUE DES ARENES;MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE QUARTIER LATIN 5;75005;2;Opérationnel;PW0026;"{""coordinates"": [2.3542064419028152, 48.845112192168884], ""type"": ""Point""}";48.845112192168884,2.3542064419028152
74 RUE MOUFFETARD;BIBLIOTHEQUE MOHAMMED ARKOUN;75005;2;Opérationnel;PW0126;"{""coordinates"": [2.349673760661307, 48.84249352852194], ""type"": ""Point""}";48.84249352852194,2.349673760661307
21 PLACE DU PANTHEON;MAIRIE DU 5 EME;75005;2;Opérationnel;PW0021;"{""coordinates"": [2.344580878695055, 48.846191708958614], ""type"": ""Point""}";48.846191708958614,2.344580878695055
88 T BOULEVARD DE PORT-ROYAL;BIBLIOTHEQUE RAINER MARIA RILKE;75005;2;Opérationnel;PW0115;"{""coordinates"": [2.338781673488586, 48.839306988804566], ""type"": ""Point""}";48.839306988804566,2.338781673488586
8 RUE SCIPION;SQUARE THEODORE MONOD;75005;1;Opérationnel;PW0155;"{""coordinates"": [2.353777536666723, 48.83839921606968], ""type"": ""Point""}";48.83839921606968,2.353777536666723
5 RUE MICHELET;JARDIN DES GRANDS EXPLORATEURS;75006;1;Opérationnel;PW0208;"{""coordinates"": [2.336705703948916, 48.841388566111874], ""type"": ""Point""}";48.841388566111874,2.336705703948916
78 RUE BONAPARTE;MAIRIE DU 6 EME;75006;1;Opérationnel;PW0128;"{""coordinates"": [2.332611370193369, 48.85053652689776], ""type"": ""Point""}";48.85053652689776,2.332611370193369
76B RUE DE RENNES;MAISON DES INITIATIVES ETUDIANTES LABO6;75006;4;Opérationnel;PW0146;"{""coordinates"": [2.330443623016365, 48.851242609525265], ""type"": ""Point""}";48.851242609525265,2.330443623016365
78 BOULEVARD RASPAIL;BIBLIOTHEQUE ANDRE MALRAUX;75006;2;Opérationnel;PW0118;"{""coordinates"": [2.327594336081364, 48.848109737334205], ""type"": ""Point""}";48.848109737334205,2.327594336081364
100 BIS RUE D ASSAS;MUSEE ZADKINE;75006;3;Opérationnel;PW0238;"{""coordinates"": [2.3334967424001, 48.84326818049579], ""type"": ""Point""}";48.84326818049579,2.3334967424001
AVENUE CHARLES RISLER;PARC CHAMPS DE MARS - 1;75007;1;Opérationnel;PW0165;"{""coordinates"": [2.293339063475273, 48.85697941031564], ""type"": ""Point""}";48.85697941031564,2.293339063475273
116 RUE DE GRENELLE;BIBLIOTHEQUE SAINT SIMON;75007;1;Opérationnel;PW0022-1;"{""coordinates"": [2.320043697435677, 48.85686647665855], ""type"": ""Point""}";48.85686647665855,2.320043697435677
AVENUE CHARLES RISLER;PARC CHAMPS DE MARS - 2;75007;1;Opérationnel;PW0165-1;"{""coordinates"": [2.300190630733142, 48.85461012252293], ""type"": ""Point""}";48.85461012252293,2.300190630733142
PORT DE SOLFERINO;BERGES RIVE GAUCHE - EMMARCHEMENT;75007;2;Opérationnel;PW0207;"{""coordinates"": [2.324356570020385, 48.861416641848194], ""type"": ""Point""}";48.861416641848194,2.324356570020385
93 QUAI D ORSAY;MUSEE DES EGOUTS;75007;15;Opérationnel;PW0243;"{""coordinates"": [2.302383002711747, 48.86207328848182], ""type"": ""Point""}";48.86207328848182,2.302383002711747
164 RUE DE GRENELLE;BIBLIOTHEQUE AMELIE;75007;1;Opérationnel;PW0059;"{""coordinates"": [2.308989882814166, 48.85806889772535], ""type"": ""Point""}";48.85806889772535,2.308989882814166
35 AVENUE DE LA BOURDONNAIS;GYMNASE CAMOU;75007;3;Opérationnel;PW0250;"{""coordinates"": [2.2992737787183, 48.85839961990188], ""type"": ""Point""}";48.85839961990188,2.2992737787183
93 RUE SAINT DOMINIQUE;MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 7;75007;1;Opérationnel;PW0027;"{""coordinates"": [2.3072264832610783, 48.8595702097367], ""type"": ""Point""}";48.8595702097367,2.3072264832610783
116 RUE DE GRENELLE;MAIRIE DU 7 EME;75007;1;Opérationnel;PW0022;"{""coordinates"": [2.320043697435677, 48.85686647665855], ""type"": ""Point""}";48.85686647665855,2.320043697435677
PORT DU GROS CAILLOU;BERGES RIVE GAUCHE - JARDIN FLOTTANT;75007;3;Opérationnel;PW0189;"{""coordinates"": [2.30452468193794, 48.86296417505912], ""type"": ""Point""}";48.86296417505912,2.30452468193794
1 RUE PAUL ET JEAN LEROLLE;ESPLANADE DES INVALIDES;75007;1;Opérationnel;PW0161;"{""coordinates"": [2.312894263966204, 48.85818974233775], ""type"": ""Point""}";48.85818974233775,2.312894263966204
6 RUE MASSERAN;GYMNASE MASSERAN;75007;4;En étude;PW0251;"{""coordinates"": [2.313819200912687, 48.848770748398636], ""type"": ""Point""}";48.848770748398636,2.313819200912687
PORT DE SOLFERINO;BERGES RIVE GAUCHE - LA HALLE;75007;3;Fermé pour travaux;PW0190;"{""coordinates"": [2.32506543396433, 48.86114845894017], ""type"": ""Point""}";48.86114845894017,2.32506543396433
AVENUE EDWARD TUCK;PROMENADE DES CHAMPS ELYSEES - KIOSQUE A MUSIQUE;75008;2;Opérationnel;PW0196;"{""coordinates"": [2.317839768979231, 48.86528730587914], ""type"": ""Point""}";48.86528730587914,2.317839768979231
3 RUE DE LISBONNE;BIBLIOTHEQUE EUROPE;75008;2;Opérationnel;PW0124;"{""coordinates"": [2.317486478723445, 48.8777513840169], ""type"": ""Point""}";48.8777513840169,2.317486478723445
AVENUE WINSTON CHURCHILL 75008;MUSEE DU PETIT PALAIS;75008;6;Opérationnel;PW0232;"{""coordinates"": [2.315223938763026, 48.866081939509414], ""type"": ""Point""}";48.866081939509414,2.315223938763026
1 PLACE DE LA REPUBLIQUE DOMINICAINE;PARC MONCEAU  - ENTREE PARC;75008;3;Opérationnel;PW0151-1;"{""coordinates"": [2.307499076107147, 48.87994077004261], ""type"": ""Point""}";48.87994077004261,2.307499076107147
28 RUE LAURE DIEBOLD;MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  8;75008;2;Opérationnel;PW0047;"{""coordinates"": [2.304784825574433, 48.87602928391506], ""type"": ""Point""}";48.87602928391506,2.304784825574433
7 AVENUE VELASQUEZ;MUSEE CERNUSCHI;75008;17;Opérationnel;PW0247;"{""coordinates"": [2.312523099981508, 48.8794445126079], ""type"": ""Point""}";48.8794445126079,2.312523099981508
1-3 PLACE DE LA REPUBLIQUE DOMINICAINE;PARC MONCEAU - ALLEE CONTESSE DE SEGUR;75008;4;Opérationnel;PW0151;"{""coordinates"": [2.309839896973783, 48.880262340729686], ""type"": ""Point""}";48.880262340729686,2.309839896973783
7 ALLEE LOUIS DE FUNES;CS JACQUELINE AURIOL;75008;1;Opérationnel;PW0095;"{""coordinates"": [2.304626719021802, 48.87536457154315], ""type"": ""Point""}";48.87536457154315,2.304626719021802
3 RUE DE LISBONNE;MAIRIE DU 8 EME;75008;1;Opérationnel;PW0024;"{""coordinates"": [2.317486478723445, 48.8777513840169], ""type"": ""Point""}";48.8777513840169,2.317486478723445
35 RUE VICTOR MASSE;MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  9 ANNEXE;75009;1;Opérationnel;PW0038;"{""coordinates"": [2.337010883062689, 48.88094098309762], ""type"": ""Point""}";48.88094098309762,2.337010883062689
PLACE D'ANVERS;SQUARE D'ANVERS;75009;1;Opérationnel;PW0184;"{""coordinates"": [2.344520519971863, 48.88231742995314], ""type"": ""Point""}";48.88231742995314,2.344520519971863
24 RUE DE ROCHECHOUART;BIBLIOTHEQUE VALEYRE;75009;2;Opérationnel;PW0142;"{""coordinates"": [2.34502151233773, 48.87796726487002], ""type"": ""Point""}";48.87796726487002,2.34502151233773
16 RUE CHAPTAL;MUSEE DE LA VIE ROMANTIQUE;75009;5;Opérationnel;PW0248;"{""coordinates"": [2.33316632839133, 48.880937774959314], ""type"": ""Point""}";48.880937774959314,2.33316632839133
RUE LA FAYETTE;SQUARE MONTHOLON;75009;1;Opérationnel;PW0186;"{""coordinates"": [2.346405003129445, 48.876901657285096], ""type"": ""Point""}";48.876901657285096,2.346405003129445
54 RUE PIGALLE;MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  9;75009;1;Opérationnel;PW0037;"{""coordinates"": [2.335936611209823, 48.88097813417975], ""type"": ""Point""}";48.88097813417975,2.335936611209823
1 PLACE D ESTIENNES D ORVES;SQUARE TRINITE D ESTIENNE D ORVES;75009;1;Opérationnel;PW0176;"{""coordinates"": [2.331798275213253, 48.87659566954102], ""type"": ""Point""}";48.87659566954102,2.331798275213253
11 RUE DROUOT;BIBLIOTHEQUE DROUOT;75009;1;Opérationnel;PW0060;"{""coordinates"": [2.340452056446281, 48.87339027391681], ""type"": ""Point""}";48.87339027391681,2.340452056446281
26 RUE CHAPTAL;BIBLIOTHEQUE CHAPTAL;75009;2;Opérationnel;PW0109;"{""coordinates"": [2.332345559826885, 48.881111335939714], ""type"": ""Point""}";48.881111335939714,2.332345559826885
6 RUE DROUOT;MAIRIE DU 9 EME;75009;1;Opérationnel;PW0131;"{""coordinates"": [2.340480602150851, 48.872591602361176], ""type"": ""Point""}";48.872591602361176,2.340480602150851
8 RUE LEON SCHWARTZENBERG;MEDIATHEQUE FRANCOISE SAGAN;75010;13;Opérationnel;PW0147;"{""coordinates"": [2.353666772968424, 48.87542987081136], ""type"": ""Point""}";48.87542987081136,2.353666772968424
81 BOULEVARD DE LA VILLETTE;BIBLIOTHEQUE FRANCOIS VILLON;75010;4;Opérationnel;PW0116;"{""coordinates"": [2.37079691969116, 48.877205434154426], ""type"": ""Point""}";48.877205434154426,2.37079691969116
3 RUE DU CHATEAU D EAU;BOURSE DU TRAVAIL;75010;3;Opérationnel;PW0215;"{""coordinates"": [2.361997406270607, 48.86910541253627], ""type"": ""Point""}";48.86910541253627,2.361997406270607
150 QUAI DE VALMY;JARDIN DES BERGES DU CANAL SAINT MARTIN;75010;1;Opérationnel;PW0194;"{""coordinates"": [2.367206668709812, 48.8801112154069], ""type"": ""Point""}";48.8801112154069,2.367206668709812
17 RUE BOY ZELENSKI;CENTRE SPORTIF DE LA GRANGE AUX BELLES;75010;1;Opérationnel;PW0077;"{""coordinates"": [2.368390340217362, 48.877430616544906], ""type"": ""Point""}";48.877430616544906,2.368390340217362
72 RUE DU FAUBOURG SAINT MARTIN;MAIRIE DU 10 EME;75010;2;Opérationnel;PW0010;"{""coordinates"": [2.357382644948621, 48.87178451190305], ""type"": ""Point""}";48.87178451190305,2.357382644948621
11 SQUARE ALBAN SATRAGNE;GYMNASE MARIE PARADIS;75010;1;Opérationnel;PW0097;"{""coordinates"": [2.355248428182183, 48.87545394069122], ""type"": ""Point""}";48.87545394069122,2.355248428182183
35 QUAI DE JEMMAPES;SQUARE FREDERIC LEMAITRE;75010;1;Opérationnel;PW0197;"{""coordinates"": [2.367112330251715, 48.878838631646886], ""type"": ""Point""}";48.878838631646886,2.367112330251715
8 RUE DES RECOLLETS;JARDIN VILLEMIN;75010;2;Opérationnel;PW0164;"{""coordinates"": [2.361904938537223, 48.874498828303075], ""type"": ""Point""}";48.874498828303075,2.361904938537223
88 QUAI DE VALMY;SQUARE DES RECOLLETS;75010;1;Opérationnel;PW0210;"{""coordinates"": [2.363611617977898, 48.87320402026159], ""type"": ""Point""}";48.87320402026159,2.363611617977898
206 QUAI DE VALMY;MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  10;75010;1;Opérationnel;PW0028;"{""coordinates"": [2.368720066964892, 48.88178411021711], ""type"": ""Point""}";48.88178411021711,2.368720066964892
8 RUE DU GENERAL RENAULT;MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  11;75011;2;Opérationnel;PW0029;"{""coordinates"": [2.378502475675964, 48.861265925542334], ""type"": ""Point""}";48.861265925542334,2.378502475675964
5 AVENUE JEAN AICARD;SQUARE JEAN AICARD;75011;1;Opérationnel;PW0152;"{""coordinates"": [2.381272316972541, 48.864908624429034], ""type"": ""Point""}";48.864908624429034,2.381272316972541
19B RUE DE L ORILLON;SQUARE ORILLON JULES VERNES;75011;1;Opérationnel;PW0056;"{""coordinates"": [2.375117284276381, 48.86989268070317], ""type"": ""Point""}";48.86989268070317,2.375117284276381
46B RUE DE SAINT MAUR;SERVICE TECHNIQUE DES BIBLIOTHEQUES;75011;1;Opérationnel;PW0998;"{""coordinates"": [2.380308769510553, 48.86221123845906], ""type"": ""Point""}";48.86221123845906,2.380308769510553
2 RUE DU GENERAL BLAISE RUE LACHARRIERE;SQUARE MAURICE GARDETTE;75011;1;Opérationnel;PW0205;"{""coordinates"": [2.379072517053181, 48.86108519335692], ""type"": ""Point""}";48.86108519335692,2.379072517053181
2 RUE JAPY;GYMNASE JAPY;75011;1;Opérationnel;PW0096;"{""coordinates"": [2.382453535830383, 48.85587141220044], ""type"": ""Point""}";48.85587141220044,2.382453535830383
67 BOULEVARD RICHARD LENOIR;PROMENADE RICHARD LENOIR;75011;1;Opérationnel;PW0206;"{""coordinates"": [2.372221416816595, 48.860512794097644], ""type"": ""Point""}";48.860512794097644,2.372221416816595
115 BOULEVARD DE CHARONNE;CENTRE SPORTIF GEORGES RIGAL;75011;1;Opérationnel;PW0080;"{""coordinates"": [2.393868772427969, 48.85660341812767], ""type"": ""Point""}";48.85660341812767,2.393868772427969
9-11 RUE ALPHONSE BAUDIN;CENTRE SPORTIF COUR DES LIONS;75011;1;Opérationnel;PW0076;"{""coordinates"": [2.370343866923958, 48.86067412777188], ""type"": ""Point""}";48.86067412777188,2.370343866923958
159 RUE DE CHARONNE;SQUARE COLBERT;75011;1;Opérationnel;PW0160;"{""coordinates"": [2.389595542248922, 48.855591936732615], ""type"": ""Point""}";48.855591936732615,2.389595542248922
2 PLACE LEON BLUM;MAIRIE DU 11 EME;75011;1;Opérationnel;PW0011;"{""coordinates"": [2.381003400476269, 48.85807993154853], ""type"": ""Point""}";48.85807993154853,2.381003400476269
18 RUE FAIDHERBE;MEDIATHEQUE VIOLETTE LEDUC;75011;4;Opérationnel;PW0049;"{""coordinates"": [2.383960070968056, 48.851595552840706], ""type"": ""Point""}";48.851595552840706,2.383960070968056
4 RUE SERVAN - SQUARE DE LA ROQUETTE;SQUARE LA PETITE ROQUETTE;75011;1;Opérationnel;PW0068;"{""coordinates"": [2.384187633080559, 48.859124367471004], ""type"": ""Point""}";48.859124367471004,2.384187633080559
2 PASSAGE DUMAS;SQUARE DES JARDINIERS;75011;1;Opérationnel;PW0203;"{""coordinates"": [2.390250086858032, 48.85209002148713], ""type"": ""Point""}";48.85209002148713,2.390250086858032
25 BOULEVARD RICHARD LENOIR;SQUARE BREGUET SABIN;75011;2;Opérationnel;PW0177;"{""coordinates"": [2.370479661100423, 48.8570974891207], ""type"": ""Point""}";48.8570974891207,2.370479661100423
20 AVENUE PARMENTIER;BIBLIOTHEQUE PARMENTIER;75011;1;Opérationnel;PW0052;"{""coordinates"": [2.379034961498105, 48.86009629404829], ""type"": ""Point""}";48.86009629404829,2.379034961498105
23 RUE DU COLONEL ROZANOFF;BIBLIOTHEQUE SAINT ELOI;75012;2;Opérationnel;PW0141;"{""coordinates"": [2.387110986075708, 48.84552915718272], ""type"": ""Point""}";48.84552915718272,2.387110986075708
13 RUE ANTOINE JULIEN HENARD;PISCINE JEAN BOITEUX;75012;1;Opérationnel;PW0106;"{""coordinates"": [2.389397789011499, 48.842147212693675], ""type"": ""Point""}";48.842147212693675,2.389397789011499
70 RUE DE PICPUS;BIBLIOTHEQUE HELENE BERR;75012;4;Opérationnel;PW0051;"{""coordinates"": [2.397476889678179, 48.84254112148939], ""type"": ""Point""}";48.84254112148939,2.397476889678179
15 RUE DE LA NOUVELLE CALEDONIE;CENTRE SPORTIF PAUL VALERY;75012;1;Opérationnel;PW0087;"{""coordinates"": [2.410429161569746, 48.83800252906541], ""type"": ""Point""}";48.83800252906541,2.410429161569746
1 COUR CHAMONARD;PARC DE BERCY (MAISON DU LAC);75012;1;Opérationnel;PW0058-1;"{""coordinates"": [2.384532226240481, 48.83507864071957], ""type"": ""Point""}";48.83507864071957,2.384532226240481
42 AVENUE DAUMESNIL;BIBLIOTHEQUE DIDEROT;75012;1;Opérationnel;PW0135;"{""coordinates"": [2.377716139560769, 48.84596671657269], ""type"": ""Point""}";48.84596671657269,2.377716139560769
